"match_id","team1","team2","start_date","venue","city","toss_winner","toss_decision","winner","innings_1_total","innings_2_total","daily_temperature_2m_mean","daily_relative_humidity_2m_mean","daily_rain_sum","daily_cloud_cover_mean","daily_sunset","innings_1_over_2_score","innings_1_over_4_score","innings_1_over_6_score","innings_1_over_8_score","innings_1_over_10_score","innings_1_over_12_score","innings_1_over_14_score","innings_1_over_16_score","innings_1_over_18_score","innings_1_over_20_score","innings_2_over_2_score","innings_2_over_4_score","innings_2_over_6_score","innings_2_over_8_score","innings_2_over_10_score","innings_2_over_12_score","innings_2_over_14_score","innings_2_over_16_score","innings_2_over_18_score","innings_2_over_20_score","innings_1_over_2_wickets","innings_1_over_4_wickets","innings_1_over_6_wickets","innings_1_over_8_wickets","innings_1_over_10_wickets","innings_1_over_12_wickets","innings_1_over_14_wickets","innings_1_over_16_wickets","innings_1_over_18_wickets","innings_1_over_20_wickets","innings_2_over_2_wickets","innings_2_over_4_wickets","innings_2_over_6_wickets","innings_2_over_8_wickets","innings_2_over_10_wickets","innings_2_over_12_wickets","innings_2_over_14_wickets","innings_2_over_16_wickets","innings_2_over_18_wickets","innings_2_over_20_wickets","team_1_win"
"287873","England","India",2007-09-19,"Kingsmead","Durban","India","bat","India",218,200,20.9,72,0,0,"2007-09-19T17:50",13,23,41,70,90,110,129,148,171,218,11,30,57,74,94,117,126,151,171,200,0,0,0,0,0,0,0,2,3,4,0,0,1,1,1,2,2,3,5,6,FALSE
"287876","South Africa","India",2007-09-20,"Kingsmead","Durban","India","bat","India",153,116,22.4,74,0,5,"2007-09-20T17:50",12,29,34,46,57,72,90,101,131,153,12,19,31,35,48,62,83,97,106,116,0,0,3,3,3,4,4,4,4,5,2,3,5,5,5,5,5,5,7,9,FALSE
"287874","Australia","Sri Lanka",2007-09-20,"Newlands","Cape Town","Australia","field","Australia",101,102,14.3,91,0,78,"2007-09-20T18:40",9,15,26,34,43,60,72,82,92,101,11,29,54,78,94,NA,NA,NA,NA,NA,2,3,4,5,7,7,7,7,8,10,0,0,0,0,0,NA,NA,NA,NA,NA,TRUE
"287875","Bangladesh","Pakistan",2007-09-20,"Newlands","Cape Town","Pakistan","field","Pakistan",140,141,14.3,91,0,78,"2007-09-20T18:40",14,27,51,62,80,102,112,124,137,140,13,41,65,68,76,84,100,115,129,NA,0,1,1,1,2,4,4,7,7,10,0,0,1,2,3,3,3,5,6,NA,FALSE
"287878","Australia","India",2007-09-22,"Kingsmead","Durban","India","bat","India",188,173,20.6,76,0,59,"2007-09-22T17:51",9,19,36,41,60,88,113,141,161,188,10,19,37,64,77,100,129,148,162,173,0,0,1,2,2,2,2,3,4,5,0,0,1,1,2,2,2,3,5,7,FALSE
"287877","New Zealand","Pakistan",2007-09-22,"Newlands","Cape Town","New Zealand","bat","Pakistan",143,147,14.1,75,1.1,46,"2007-09-22T18:42",4,29,41,51,72,78,91,106,120,143,20,33,54,62,77,95,106,119,132,NA,0,0,0,1,1,2,4,6,7,8,0,0,0,1,1,1,3,4,4,NA,FALSE
"287879","India","Pakistan",2007-09-24,"New Wanderers Stadium","Johannesburg","India","bat","India",157,152,18.6,13,0,0,"2007-09-24T18:04",20,33,40,50,69,89,105,114,130,157,25,31,53,63,70,78,92,104,138,152,0,1,2,2,2,2,3,4,5,5,1,2,3,3,4,6,6,7,8,10,TRUE
"297800","India","Australia",2007-10-20,"Brabourne Stadium","Mumbai","Australia","bat","India",166,167,27.6,65,0,4,"2007-10-20T18:13",13,35,58,69,81,96,113,120,149,166,16,30,68,80,101,111,134,143,161,NA,1,1,1,2,2,2,3,4,4,5,0,1,1,1,1,2,2,3,3,NA,TRUE
"298795","South Africa","New Zealand",2007-11-23,"New Wanderers Stadium","Johannesburg","South Africa","field","South Africa",129,131,18.1,72,2.3,76,"2007-11-23T18:40",7,28,39,54,66,75,83,97,113,129,6,16,40,56,70,88,101,109,120,131,0,1,2,3,4,4,5,6,7,7,1,1,2,2,3,3,4,5,6,7,TRUE
"291343","Australia","New Zealand",2007-12-11,"Western Australia Cricket Association Ground","Perth","Australia","bat","Australia",186,132,25.8,34,0,88,"2007-12-11T19:15",5,25,48,60,73,90,119,140,169,186,6,21,29,31,49,59,76,104,128,NA,1,1,1,2,3,3,3,3,4,6,1,1,2,5,6,7,8,8,9,NA,TRUE
